PRODUCTID,LOCATIONID,ZONEID,PRODUCTCATEGORYID,DIVISIONID,SOURCEID,EFFECTIVEDATE,PREVIOUSPRICE,PREVIOUSMULTIPLE,NEWPRICE,NEWMULTIPLE,CURRENTRETAILPRICE,CURRENTRETAILMULTIPLE,OVERRIDEPRICE,OVERRIDEMULTIPLE,COST,COMP1ID,COMP1PRICE,COMP2ID,COMP2PRICE,COMP3ID,COMP3PRICE,VOLUME,REVENUE,GROSSMARGIN,ISLOCKED,RULEEXCEPTION
233499,55,5,201,0,1169,2015-04-19 00:00:00.0,1.6100,1,1.6700,1,1.6100,1,,0,1.1283,0,,0,,0,,39.5274,66.0108,21.4120,0,0
233499,10,6,201,0,1169,2015-04-19 00:00:00.0,1.6100,1,1.6600,1,1.6100,1,,0,1.1283,0,,0,,0,,87.9673,146.0258,46.7722,0,0
233499,39,6,201,0,1169,2015-04-19 00:00:00.0,1.6100,1,1.6600,1,1.6100,1,,0,1.1283,0,,0,,0,,51.7911,85.9732,27.5373,0,0
233499,48,6,201,0,1169,2015-04-19 00:00:00.0,1.6100,1,1.6600,1,1.6100,1,,0,1.1283,0,,0,,0,,91.5755,152.0154,48.6907,0,0
233499,77,6,201,0,1169,2015-04-19 00:00:00.0,1.6100,1,1.6600,1,1.6100,1,,0,1.1283,0,,0,,0,,32.6052,54.1246,17.3362,0,0
233499,80,6,201,0,1169,2015-04-19 00:00:00.0,1.6100,1,1.6600,1,1.6100,1,,0,1.1283,0,,0,,0,,151.2181,251.0221,80.4027,0,0
233499,84,6,201,0,1169,2015-04-19 00:00:00.0,1.6100,1,1.6600,1,1.6100,1,,0,1.1283,0,,0,,0,,153.3837,254.6169,81.5541,0,0
233499,93,6,201,0,1169,2015-04-19 00:00:00.0,1.6100,1,1.6600,1,1.6100,1,,0,1.1283,0,,0,,0,,149.3496,247.9204,79.4092,0,0
233499,30,14,201,0,1169,2015-04-19 00:00:00.0,1.1600,1,1.2200,1,1.1600,1,,0,1.1283,0,,0,,0,,115.8111,139.7707,9.1010,0,0
233499,33,20,201,0,1169,2015-04-19 00:00:00.0,1.5300,1,1.4100,1,1.5300,1,,0,1.1283,0,,0,,0,,36.4923,51.4541,10.2799,0,0
271278,55,5,201,0,1169,2015-04-19 00:00:00.0,3.7400,1,3.9300,1,3.7400,1,,0,3.4933,0,,0,,0,,33.2497,130.6712,14.5201,0,0
271278,48,6,201,0,1169,2015-04-19 00:00:00.0,3.7400,1,3.9300,1,3.7400,1,,0,3.4933,0,,0,,0,,15.6441,61.4814,6.8318,0,0
271278,77,6,201,0,1169,2015-04-19 00:00:00.0,3.7400,1,3.9300,1,3.7400,1,,0,3.4933,0,,0,,0,,15.6411,61.4696,6.8305,0,0
271278,80,6,201,0,1169,2015-04-19 00:00:00.0,3.7400,1,3.9300,1,3.7400,1,,0,3.4933,0,,0,,0,,90.9442,357.4108,39.7153,0,0
271278,101,13,201,0,1169,2015-04-19 00:00:00.0,3.5900,1,3.7700,1,3.5900,1,,0,3.4933,0,,0,,0,,22.4880,84.7796,6.2224,0,0
271278,30,14,201,0,1169,2015-04-19 00:00:00.0,3.6000,1,3.7800,1,3.6000,1,,0,3.4933,0,,0,,0,,76.3341,288.5431,21.8850,0,0
171743,54,6,201,0,1169,2015-04-19 00:00:00.0,0.6800,1,0.6600,1,0.6800,1,,0,0.5000,0,,0,,0,,519.3875,342.7958,83.1020,0,0
171743,56,6,201,0,1169,2015-04-19 00:00:00.0,0.6800,1,0.6600,1,0.6800,1,,0,0.5000,0,,0,,0,,434.6123,286.8441,69.5380,0,0
171743,77,6,201,0,1169,2015-04-19 00:00:00.0,0.6800,1,0.6600,1,0.6800,1,,0,0.5000,0,,0,,0,,351.4028,231.9258,56.2244,0,0
